"","mean","X2.5.","X97.5."
"Psi_vM[1,1]",0.414116392050724,0.364484413765615,0.468615857587555
"Psi_vM[2,1]",0.058540427292185,0.0263675059433597,0.0913023386730276
"Psi_vM[1,2]",0.058540427292185,0.0263675059433597,0.0913023386730276
"Psi_vM[2,2]",0.409053954922909,0.370467849487368,0.45097884835207
"Psi_vY[1,1]",0.671145804644431,0.598756880141076,0.750979632315408
"Psi_vY[2,1]",-0.0128427381898986,-0.0431058463952903,0.0173184363048368
"Psi_vY[1,2]",-0.0128427381898986,-0.0431058463952903,0.0173184363048368
"Psi_vY[2,2]",0.242493118522408,0.219675423489833,0.267633584522509
"X_IM[1]",-0.312293917219747,-0.40000757885147,-0.232521857890075
"X_IM[2]",0.00204822573348772,-0.0352014083002888,0.0390851417352218
"X_SM[1]",-0.113216309954734,-0.290342168276238,0.0634270898850179
"X_SM[2]",0.039203424344233,-0.0600559052794016,0.139273149477945
"Xde[1]",-0.00315298564174669,-0.216005574218006,0.211162328461351
"Xde[2]",-0.0792841114400923,-0.199995041868497,0.0416156450373221
"a0[1]",-0.00199122704482558,-0.0747510999332265,0.0705660975629288
"a0[2]",-0.0378617226509434,-0.101856015388144,0.0262800797572861
"aX[1]",0.601497909274405,0.501305406820337,0.703248421182178
"aX[2]",1.81564644517418,1.7265035703411,1.90448555718458
"aZ[1,1]",-0.015227290481688,-0.0512666819932047,0.0208914628578608
"aZ[1,2]",9.32663145356963,-1948.12264231622,1961.4110521683
"b0[1]",7.34048680682473,7.25252122911656,7.42842386511589
"b0[2]",0.030592400921761,-0.019003875540156,0.0804192038430178
"bIM[1]",-0.519185644618457,-0.62826432000843,-0.409436568775509
"bIM[2]",0.00338532080786976,-0.0580346379496981,0.0643155233754469
"bSM[1]",-0.0623231409784804,-0.159503342730909,0.0352122500793414
"bSM[2]",0.0215922077615246,-0.0329568217636724,0.0765860825625012
"bX[1]",-0.00315298564174669,-0.216005574218006,0.211162328461351
"bX[2]",-0.0792841114400923,-0.199995041868497,0.0416156450373221
"bZ[1,1]",-0.0326329486606453,-0.0942555264121332,0.0292174831459739
"bZ[1,2]",0.00916823975413166,-0.0262185576053096,0.0442490769975201
"deviance",34161.3034757519,33989.0354815889,34332.5190347774
"var_eM",0.503287531814245,0.487941856354615,0.519080702585133
"var_eY",0.239319705304928,0.231864203663365,0.24676147661779
